"","x"
"1",-1.03325706519192
"2",-0.498029424322852
"3",1.03695173282088
"4",2.45179513343324
"5",7.35903002032966
"6",18.2114217184664
"7",24.1386805283306
"8",28.2200443776694
"9",29.4415292088526
"10",29.3652716068407
"11",27.9107310334513
"12",25.116119607224
"13",22.6120993369886
"14",23.3014651692063
"15",24.4149891041335
"16",24.0208910744869
"17",20.4608802806866
"18",16.9043008932696
"19",16.5230170958849
"20",15.7576383990295
"21",13.3118583006933
"22",7.19478676591396
"23",3.4668242608931
"24",3.51807199665718
"25",2.84422438684908
"26",-0.547852551059488
"27",-5.66311775316029
"28",-11.4818889859034
"29",-14.7546260080241
"30",-17.2390559977926
"31",-19.2990655664345
"32",-18.2658485263998
"33",-16.6470555446478
"34",-14.0327952555552
"35",-13.8042028450245
"36",-17.2989296069382
"37",-20.0202719483641
"38",-20.9706200049202
"39",-16.7465094062834
"40",-14.8760319374266
"41",-11.912667295912
"42",-8.51578893207836
"43",-5.55846478445144
"44",-1.3166838923396
"45",0.916491198212423
"46",3.20191408914359
"47",5.85494231662181
"48",8.34183352195861
"49",11.0780485595071
"50",10.1162468144981
"51",5.79993181524184
"52",2.27566619373076
"53",4.39701028101516
"54",8.92659772254344
"55",12.3792778153145
"56",17.3273610150709
"57",25.4166786795837
"58",30.6833725572414
"59",34.9369085520197
"60",37.105218982527
"61",36.8663029723719
"62",38.5591280732065
"63",38.3042729778656
"64",31.8642814445601
"65",25.9526324892317
"66",24.2591631962717
"67",25.1152566964423
"68",25.3124872006386
"69",21.526565957374
"70",16.5281163263884
"71",15.2390933313374
"72",14.8488542636091
"73",16.7138553525975
"74",19.2118257743039
"75",22.4404865507656
"76",23.0938485338124
"77",25.8035278367949
"78",30.2656950387537
"79",32.9568704202312
"80",35.8341417447422
"81",37.6800450326494
"82",39.4697631159718
"83",35.9894129459041
"84",29.4441843816278
"85",22.6311635355536
"86",18.2485405310725
"87",14.2068380727147
"88",8.04843405174184
"89",0.58851600127965
"90",-4.64647549747686
"91",-9.27192304655847
"92",-12.4197230867169
"93",-14.3745831825617
"94",-12.8422817839111
"95",-10.6406625282128
"96",-7.81500027521758
"97",-6.13004139739636
"98",-7.37171302355916
"99",-11.5080612838668
"100",-17.8105086941152
"101",-23.2948127314859
"102",-27.7084268589466
"103",-33.5778807925386
"104",-41.019255127773
"105",-47.8514265762337
"106",-53.2414490602861
"107",-55.3761018596637
"108",-56.4964494178021
"109",-57.0071340089068
"110",-56.5110060315873
"111",-57.9294197819365
"112",-59.7257940026543
"113",-61.1004591149034
"114",-61.9556712636348
"115",-63.8147395902913
"116",-67.732757330519
"117",-72.6903192420306
"118",-78.9825451338894
